product_id,sku_id,product_name,category,brand
1,SKU1000,Product_1,Electronics,HomeEase
2,SKU1001,Product_2,Books,FitLife
3,SKU1002,Product_3,Toys,BookWorld
4,SKU1003,Product_4,Furniture,ClickTech
5,SKU1004,Product_5,Toys,ComfortSeat
6,SKU1005,Product_6,Appliances,ClickTech
7,SKU1006,Product_7,Fashion,TechMax
8,SKU1007,Product_8,Appliances,FashionHub
9,SKU1008,Product_9,Books,HomeEase
10,SKU1009,Product_10,Electronics,HomeEase
11,SKU1010,Product_11,Electronics,FitLife
12,SKU1011,Product_12,Toys,ClickTech
13,SKU1012,Product_13,Toys,TechMax
14,SKU1013,Product_14,Appliances,FashionHub
15,SKU1014,Product_15,Sports,BookWorld
16,SKU1015,Product_16,Electronics,BookWorld
17,SKU1016,Product_17,Electronics,FashionHub
18,SKU1017,Product_18,Toys,SportPro
19,SKU1018,Product_19,Electronics,FashionHub
20,SKU1019,Product_20,Appliances,SportPro
21,SKU1020,Product_21,Sports,ComfortSeat
22,SKU1021,Product_22,Books,ComfortSeat
23,SKU1022,Product_23,Sports,FitLife
24,SKU1023,Product_24,Fashion,SportPro
25,SKU1024,Product_25,Books,FashionHub
26,SKU1025,Product_26,Toys,FitLife
27,SKU1026,Product_27,Appliances,HomeEase
28,SKU1027,Product_28,Toys,ClickTech
29,SKU1028,Product_29,Appliances,SportPro
30,SKU1029,Product_30,Furniture,SportPro
31,SKU1030,Product_31,Fashion,FashionHub
32,SKU1031,Product_32,Appliances,TechMax
33,SKU1032,Product_33,Books,BookWorld
34,SKU1033,Product_34,Furniture,SportPro
35,SKU1034,Product_35,Furniture,BookWorld
36,SKU1035,Product_36,Toys,FitLife
37,SKU1036,Product_37,Appliances,FitLife
38,SKU1037,Product_38,Fashion,FitLife
39,SKU1038,Product_39,Fashion,TechMax
40,SKU1039,Product_40,Fashion,HomeEase
41,SKU1040,Product_41,Electronics,HomeEase
42,SKU1041,Product_42,Sports,FashionHub
43,SKU1042,Product_43,Books,HomeEase
44,SKU1043,Product_44,Sports,SportPro
45,SKU1044,Product_45,Sports,SportPro
46,SKU1045,Product_46,Books,TechMax
47,SKU1046,Product_47,Electronics,FitLife
48,SKU1047,Product_48,Furniture,FashionHub
49,SKU1048,Product_49,Sports,HomeEase
50,SKU1049,Product_50,Appliances,BookWorld
51,SKU1050,Product_51,Books,BookWorld
52,SKU1051,Product_52,Books,BookWorld
53,SKU1052,Product_53,Appliances,SportPro
54,SKU1053,Product_54,Appliances,FitLife
55,SKU1054,Product_55,Appliances,HomeEase
56,SKU1055,Product_56,Electronics,HomeEase
57,SKU1056,Product_57,Appliances,ClickTech
58,SKU1057,Product_58,Sports,ComfortSeat
59,SKU1058,Product_59,Furniture,HomeEase
60,SKU1059,Product_60,Sports,SportPro
61,SKU1060,Product_61,Appliances,FitLife
62,SKU1061,Product_62,Electronics,HomeEase
63,SKU1062,Product_63,Appliances,HomeEase
64,SKU1063,Product_64,Appliances,ComfortSeat
65,SKU1064,Product_65,Appliances,TechMax
66,SKU1065,Product_66,Sports,ComfortSeat
67,SKU1066,Product_67,Appliances,TechMax
68,SKU1067,Product_68,Electronics,FitLife
69,SKU1068,Product_69,Sports,ComfortSeat
70,SKU1069,Product_70,Sports,SportPro
71,SKU1070,Product_71,Electronics,TechMax
72,SKU1071,Product_72,Fashion,FitLife
73,SKU1072,Product_73,Books,SportPro
74,SKU1073,Product_74,Books,BookWorld
75,SKU1074,Product_75,Furniture,TechMax
76,SKU1075,Product_76,Appliances,SportPro
77,SKU1076,Product_77,Electronics,ClickTech
78,SKU1077,Product_78,Books,SportPro
79,SKU1078,Product_79,Electronics,TechMax
80,SKU1079,Product_80,Furniture,ComfortSeat
81,SKU1080,Product_81,Toys,FitLife
82,SKU1081,Product_82,Electronics,HomeEase
83,SKU1082,Product_83,Electronics,FashionHub
84,SKU1083,Product_84,Fashion,HomeEase
85,SKU1084,Product_85,Toys,FashionHub
86,SKU1085,Product_86,Books,SportPro
87,SKU1086,Product_87,Appliances,FashionHub
